"","Id","Block","SubCondition","Condition","RespCorr.mean","RT.mean","RespCorr.1","RT.1","RespCorr.2","RT.2","RespCorr.3","RT.3","RespCorr.4","RT.4","RespCorr.5","RT.5","RespCorr.6","RT.6","Congruency","CatVsItem"
"1","1-1-1-C-1-C",1,"C","1",1,1000,0.887437478405136,658.742736228413,0.962544854180088,672.60390366414,0.8991539133897,580.691965840576,0.8991539133897,685.960702256921,0.859577708192096,528.622171602704,0.414567636648755,813.964795179406,"Congruent","Cat"
"13","1-1-1-J-1-J",1,"J","1",1,1000,0.843861354177989,498.611152696718,0.706787168790569,512.472320132446,0.855577789162553,487.070974502781,0.855577789162553,525.829118725227,0.934395130338262,545.672038983778,0.747620103800884,911.204453249931,"Congruent","Cat"
"217","1-2-1-C-1-C",1,"C","1",1,1000,0.743784314132373,317.749062266632,0.81347100397851,331.610229702359,0.755500749116936,439.08812920316,0.755500749116936,344.96702829514,0.795252481107369,513.98202581632,0.454226230897191,841.797384556318,"Congruent","Cat"
"229","1-2-1-J-1-J",1,"J","1",1,1000,0.92449453979547,390.65968193393,0.767463199306011,404.520849369658,0.936210974780033,335.581780009564,0.936210974780033,417.877647962439,0.979896600835601,412.231790770068,0.487869274467934,761.686694663341,"Congruent","Cat"
"433","1-3-1-C-1-C",1,"C","1",1,1000,0.716022590564098,478.457146471125,0.845772762783494,492.318313906852,0.727739025548661,487.322821520939,0.727739025548661,505.675112499633,0.922699988932986,665.080220474271,0.387628047760159,622.145115454912,"Congruent","Cat"
"445","1-3-1-J-1-J",1,"J","1",1,1000,0.848808812681337,679.28546937262,0.593963961840532,693.146636808348,0.8605252476659,593.522609350538,0.8605252476659,706.503435401129,0.876827183313465,594.176925439198,0.532061090642088,726.688370133681,"Congruent","Cat"
"649","1-4-1-C-1-C",1,"C","1",1,1000,0.897696791052383,368.289177940349,0.627226489854011,382.150345376077,0.909413226036946,395.160159318382,0.909413226036946,395.507143968858,0.983984798854552,579.330099404354,0.549429263548532,909.070751064394,"Congruent","Cat"
"661","1-4-1-J-1-J",1,"J","1",1,1000,0.771694954867163,480.456592392176,0.667644617460749,494.317759827903,0.783411389851726,564.712306668175,0.783411389851726,507.674558420684,0.975550328157477,408.251508669844,0.487993682541861,948.746984337118,"Congruent","Cat"
"865","1-5-1-C-1-C",1,"C","1",1,1000,0.872673405915826,564.80199938063,0.693841715022686,578.663166816358,0.884389840900389,447.521579096801,0.884389840900389,592.019965409139,0.833747574096629,585.649150778222,0.630979028465361,843.165190670793,"Congruent","Cat"
"877","1-5-1-J-1-J",1,"J","1",1,1000,0.731582835017329,410.316064485753,0.761549950181981,424.17723192148,0.743299270001892,532.283600710337,0.743299270001892,437.534030514262,0.996299378487224,478.160456154282,0.389429264787576,789.951173505367,"Congruent","Cat"
"1081","2-1-1-C-1-C",1,"C","1",1,1000,0.814036901760134,404.930625069573,0.687481284566364,418.7917925053,0.825753336744697,523.60245776554,0.825753336744697,432.148591098081,0.914368005198191,665.37548141883,0.635573652351356,740.751041794332,"Congruent","Cat"
"1093","2-1-1-J-1-J",1,"J","1",1,1000,0.678870795903401,580.568544929021,0.781210335438552,594.429712364749,0.690587230887965,651.187759077997,0.690587230887965,607.78651095753,0.946360100985035,419.824939272138,0.591155296237822,773.830622095955,"Congruent","Cat"
"1297","2-2-1-C-1-C",1,"C","1",1,1000,0.775888104215831,322.557200139147,0.607597819167017,336.418367574874,0.787604539200394,596.101008725926,0.787604539200394,349.775166167655,0.716574938239528,591.90751773458,0.283287839802271,752.466291163788,"Congruent","Cat"
"1309","2-2-1-J-1-J",1,"J","1",1,1000,0.817573208512109,487.715541350619,0.749075509949771,501.576708786347,0.829289643496673,484.552055444396,0.829289643496673,514.933507379128,0.969215697316584,570.940312490816,0.451393644936785,690.613015157779,"Congruent","Cat"
"1513","2-3-1-C-1-C",1,"C","1",1,1000,0.709878356661476,539.020110357884,0.59401992957371,552.881277793612,0.72159479164604,473.468233001443,0.72159479164604,566.238076386393,0.946051740230455,584.28578004952,0.576430994715762,853.523168794809,"Congruent","Cat"
"1525","2-3-1-J-1-J",1,"J","1",1,1000,0.62111503747075,564.771508938028,0.632006532743253,578.632676373755,0.632831472455313,359.614354174539,0.632831472455313,591.989474966536,0.928272551997393,695.447610822837,0.519497328161115,835.837918723482,"Congruent","Cat"
"1729","2-4-1-C-1-C",1,"C","1",1,1000,0.757701626166137,427.725000050011,0.849047013519072,441.586167485738,0.7694180611507,520.500145048152,0.7694180611507,454.942966078519,0.979044833614644,566.654955922315,0.383383092107205,649.440829017291,"Congruent","Cat"
"1741","2-4-1-J-1-J",1,"J","1",1,1000,0.610509830093329,469.434760564202,0.620932920561718,483.295927999929,0.622226265077893,594.545213417094,0.622226265077893,496.65272659271,0.969580911239087,640.73267651522,0.607377149208862,870.853481106988,"Congruent","Cat"
"1945","2-5-1-C-1-C",1,"C","1",1,1000,0.76393392900978,579.410286341625,0.700510580974759,593.271453777353,0.775650363994344,531.925226466751,0.775650363994344,606.628252370134,0.809697081209102,672.875726147295,0.436599316418488,780.221692114344,"Congruent","Cat"
"1957","2-5-1-J-1-J",1,"J","1",1,1000,0.710098475702207,508.565726724823,0.924364478541184,522.426894160551,0.721814910686771,451.979499146448,0.721814910686771,535.783692753332,0.909282071424082,612.375609151123,0.429362313049047,805.935193504696,"Congruent","Cat"
"2161","3-1-1-C-1-C",1,"C","1",1,1000,0.848771760605318,426.848425930687,0.670404967323058,440.709593366415,0.860488195589881,404.393699916821,0.860488195589881,454.066391959196,0.978071502087685,677.059252427136,0.482348569816348,823.222522466867,"Congruent","Cat"
"2173","3-1-1-J-1-J",1,"J","1",1,1000,0.736677213055555,686.325712116191,0.75756854576392,700.186879551918,0.748393648040118,518.504064902065,0.748393648040118,713.543678144699,0.890887997199085,524.794483730417,0.475317743290649,818.627888863968,"Congruent","Cat"
"2377","3-2-1-C-1-C",1,"C","1",1,1000,0.782759199011788,291.835103016985,0.674302662446963,305.696270452712,0.794475633996351,480.506998974099,0.794475633996351,319.053069045493,0.951412818233008,440.858776567393,0.440657407568642,757.186163770083,"Congruent","Cat"
"2389","3-2-1-J-1-J",1,"J","1",1,1000,0.650698918487763,509.189934101208,0.717797988287021,523.051101536936,0.662415353472326,485.731537982096,0.662415353472326,536.407900129717,0.919532656146164,492.217816111441,0.561960272102781,850.842520444205,"Congruent","Cat"
"2593","3-3-1-C-1-C",1,"C","1",1,1000,0.836033900833865,623.009098392001,0.669831944252334,636.870265827729,0.847750335818429,582.338435280678,0.847750335818429,650.22706442051,0.938147452249865,656.037890831888,0.467789761495596,824.091056094949,"Congruent","Cat"
"2605","3-3-1-J-1-J",1,"J","1",1,1000,0.840128192753397,484.349656670292,0.689471953069372,498.21082410602,0.85184462773796,489.010178723429,0.85184462773796,511.567622698801,0.963131986046936,482.16551347761,0.466923667139154,785.532554334502,"Congruent","Cat"
"2809","3-4-1-C-1-C",1,"C","1",1,1000,0.781038222198664,403.048091494301,0.780306595606525,416.909258930028,0.792754657183227,422.73240789546,0.792754657183227,430.266057522809,0.953175926797033,868.614082200658,0.446600582557355,794.6845467321,"Congruent","Cat"
"2821","3-4-1-J-1-J",1,"J","1",1,1000,0.489287001395035,381.148814374504,0.729224506975322,395.009981810231,0.501003436379599,455.991145232112,0.501003436379599,408.366780403013,0.868764395094225,632.892501804161,0.484146938299084,711.4815649422,"Congruent","Cat"
"3025","3-5-1-C-1-C",1,"C","1",1,1000,0.935466549834821,406.302394205207,0.734582727793926,420.163561640935,0.947182984819384,407.447673516097,0.947182984819384,433.520360233716,0.907381620025015,605.698304030775,0.44967599439073,773.444594097185,"Congruent","Cat"
"3037","3-5-1-J-1-J",1,"J","1",1,1000,0.767506714329893,509.419937131431,0.80122783335617,523.281104567159,0.779223149314457,649.661971133888,0.779223149314457,536.63790315994,0.93177024459393,546.106346080161,0.450566260792298,754.095219236835,"Congruent","Cat"
"25","1-1-1-C-1-C",2,"C","1",1,1000,0.86748953584748,682.996711230578,0.763265492014917,710.719046102033,0.890922405816607,521.946705090604,0.890922405816607,737.432643287595,0.86711186911138,797.905188130795,0.58980050672558,692.721676249024,"Congruent","Cat"
"37","1-1-1-J-1-J",2,"J","1",1,1000,0.54732677548418,405.529971546658,0.771261333323608,433.252306418113,0.570759645453306,611.288755660652,0.570759645453306,459.965903603675,0.919891856777203,535.358648369638,0.616464058683332,842.160555739388,"Congruent","Cat"
"241","1-2-1-C-1-C",2,"C","1",1,1000,0.828036947461349,429.48047359411,0.817403490206593,457.202808465564,0.851469817430476,494.203577784474,0.851469817430476,483.916405651127,0.71949727107873,454.379394371785,0.607544791206382,647.105442891057,"Congruent","Cat"
